Region,Country,Location,Site,Source,Lat,Long,MAP,MAP_data_flag,Woody_cover,Clay,Sand,Soil_N,Total_P,N_min_potential,Fire_return,Fire_return_data_source_flag,Herbivore_biomass,Herbivore_biomass_data_flag,Grazer_biomass,Browser_and_mixed_feeder_biomass,Site_Description,Cover_method,Woody_cover_data_flag,Total_plot_size_or_Transect_length,Depth_of_soil_measurements,Dominant_woody_species
Southern Africa,Botswana,Gemsbok National Park,GNP1,"Ringrose, S - unpublished",-25.06081667,21.9806,283,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),13.7,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha,,
Southern Africa,Botswana,Gemsbok National Park,GNP2,"Ringrose, S - unpublished",-25.02526667,21.9279,283,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),9.5,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha,,
Southern Africa,Botswana,Gemsbok National Park,GNP3,"Ringrose, S - unpublished",-24.853,21.9767,299,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),13.1,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha,,
Southern Africa,Botswana,Gemsbok National Park,GNP4,"Ringrose, S - unpublished",-24.8558,21.83895,299,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),13.7,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha,,
Southern Africa,Botswana,Gemsbok National Park,GNP5,"Ringrose, S - unpublished",-24.78988333,21.68085,299,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),16.4,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha,,
Southern Africa,Botswana,Gemsbok National Park,GNP6,"Ringrose, S - unpublished",-24.73391667,21.54798333,301,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),24.9,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha,,
Southern Africa,Botswana,Gemsbok National Park,GNP7,"Ringrose, S - unpublished",-24.66608333,21.36975,295,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),8.8,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha,,
Southern Africa,Botswana,Gemsbok National Park,GNP8,"Ringrose, S - unpublished",-24.59013333,21.18568333,289,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),15.7,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha,,
Southern Africa,Botswana,Gemsbok National Park,GNP9,"Ringrose, S - unpublished",-24.51885,20.99378333,283,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),5.5,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha,,
Southern Africa,Botswana,Gemsbok National Park,GNP10,"Ringrose, S - unpublished",-24.54288333,20.81371667,269,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),17.1,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha,,
Southern Africa,Botswana,Gemsbok National Park,GNP11,"Ringrose, S - unpublished",-24.54288333,20.81371667,269,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),21,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha,,
Southern Africa,Botswana,Gemsbok National Park,GNP12,"Ringrose, S - unpublished",-24.45836667,20.82606667,275,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),20.7,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha,,
Southern Africa,Botswana,Gemsbok National Park,GNP13,"Ringrose, S - unpublished",-24.42011667,20.68175,271,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),13.3,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP14,"Ringrose, S - unpublished",-24.3097,20.50556667,269,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),11.5,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP15,"Ringrose, S - unpublished",-24.26716667,20.4118,267,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),20.8,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP16,"Ringrose, S - unpublished",-24.24473333,20.36785,264,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),18.6,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP17,"Ringrose, S - unpublished",-24.26716667,20.4118,267,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),10.3,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP18,"Ringrose, S - unpublished",-24.26716667,20.4118,267,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),15.7,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP19,"Ringrose, S - unpublished",-24.21078333,20.28426667,264,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),19,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP20,"Ringrose, S - unpublished",-24.24025,20.3354,264,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),21.9,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP21,"Ringrose, S - unpublished",-24.36715,20.65345,272,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),16.6,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP22,"Ringrose, S - unpublished",-24.44173333,20.61755,263,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),22.1,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP23,"Ringrose, S - unpublished",-24.48293333,20.6247,260,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),6.8,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP24,"Ringrose, S - unpublished",-24.5176,20.58955,260,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),20.7,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP25,"Ringrose, S - unpublished",-24.57363333,20.5155,255,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),19.7,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP26,"Ringrose, S - unpublished",-24.74681667,20.37965,250,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),10,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP27,"Ringrose, S - unpublished",-24.71735,20.2958,250,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),33.9,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP28,"Ringrose, S - unpublished",-24.74475,20.23126667,250,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),13.9,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP29,"Ringrose, S - unpublished",-24.57363333,20.5155,255,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),15.3,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP30,"Ringrose, S - unpublished",-24.843,20.287,247,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),4.5,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP31,"Ringrose, S - unpublished",-25.97221667,20.31993333,191,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),16.3,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP32,"Ringrose, S - unpublished",-26.43411667,20.75763333,189,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),8.8,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP33,"Ringrose, S - unpublished",-25.3726,22.14745,283,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),20,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP34,"Ringrose, S - unpublished",-25.3735,21.93035,275,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),20.9,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP35,"Ringrose, S - unpublished",-25.36838333,21.83206667,272,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),13.7,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP36,"Ringrose, S - unpublished",-25.54435,21.69778333,262,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),8.2,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP37,"Ringrose, S - unpublished",-25.72565,21.55541667,257,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),12.8,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP38,"Ringrose, S - unpublished",-25.23995,22.08135,280,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),19.2,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP39,"Ringrose, S - unpublished",-25.21643333,22.05948333,279,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),4,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Gemsbok National Park,GNP40,"Ringrose, S - unpublished",-25.06305,22.0998,282,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),4.6,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Protected area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81 ha
Southern Africa,Botswana,Kalahari Transect,KT0,"Ringrose, S - unpublished",-26.767,20.933,180,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),8,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81ha
Southern Africa,Botswana,Kalahari Transect,KT1,"Ringrose, S - unpublished",-26.8,21.533,224,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),8,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81ha
Southern Africa,Botswana,Kalahari Transect,KT2,"Ringrose, S - unpublished",-26.683,21.767,241,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),12,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81ha
Southern Africa,Botswana,Kalahari Transect,KT3,"Ringrose, S - unpublished",-26.567,21.958,260,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),10,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81ha
Southern Africa,Botswana,Kalahari Transect,KT4,"Ringrose, S - unpublished",-26.467,22.067,266,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),15,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81ha
Southern Africa,Botswana,Kalahari Transect,KT5,"Ringrose, S - unpublished",-26.317,22.167,271,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),16,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81ha
Southern Africa,Botswana,Kalahari Transect,KT6,"Ringrose, S - unpublished",-26.267,22.283,279,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),18,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81ha
Southern Africa,Botswana,Kalahari Transect,KT7,"Ringrose, S - unpublished",-26.1,22.383,284,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),15,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81ha
Southern Africa,Botswana,Kalahari Transect,KT8,"Ringrose, S - unpublished",-25.917,22.375,287,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),12,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81ha
Southern Africa,Botswana,Kalahari Transect,KT9,"Ringrose, S - unpublished",-25.717,22.283,283,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),14,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81ha
Southern Africa,Botswana,Kalahari Transect,KT10,"Ringrose, S - unpublished",-25.517,22.217,283,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),15,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81ha
Southern Africa,Botswana,Kalahari Transect,KT11,"Ringrose, S - unpublished",-25.333,22.125,283,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),15,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81ha
Southern Africa,Botswana,Kalahari Transect,KT12,"Ringrose, S - unpublished",-25.192,22.125,281,Rainfall values represent amounts estimated from fitted climate grids of the continent (ANU CRES data set),14,,,,,,>8,Fire return vales in bold represent estimates derived from 5km resolution AVHRR burnt area maps of Africa (Barbosa et al. 1999),,,,,Pastoral area,summed canopy area,"For sites where woody cover was estimated by summing canopy areas of individual plants, estimates were corrected for canopy overaps where significant to convert total canopy cover measurements to projected canopy cover (%ground surface covered when crowns are projected vertically).",0.81ha
